Nr.p.k.,Norise,Iestāde,Pašvaldība,Punkti Lasīšana,Procenti Lasīšana,Punkti Klausīšanās,Procenti Klausīšanās,Punkti Rakstīšana,Procenti Rakstīšana,Punkti Runāšana,Procenti Runāšana,Punkti kopā,Procenti kopā,Tips,Urbanizācija
1,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"""VisLatvijas vidusskola""",Rīga,"18,0000",72,"16,0000",64,"16,2500",65,"21,0000",84,"71,2500",71,vidusskola,Rīga
2,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"""VisLatvijas vidusskola""",Rīga,"21,0000",84,"20,0000",80,"21,2500",85,"22,0000",88,"84,2500",84,vidusskola,Rīga
3,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"""VisLatvijas vidusskola""",Rīga,"9,0000",36,"9,0000",36,"15,0000",60,"15,0000",60,"48,0000",48,vidusskola,Rīga
4,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"""VisLatvijas vidusskola""",Rīga,"12,0000",48,"4,0000",16,"6,8750",27,"12,0000",48,"34,8750",34,vidusskola,Rīga
5,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"""VisLatvijas vidusskola""",Rīga,"22,0000",88,"17,0000",68,"21,2500",85,"22,0000",88,"82,2500",82,vidusskola,Rīga
6,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"""VisLatvijas vidusskola""",Rīga,"16,0000",64,"14,0000",56,"13,7500",55,"15,0000",60,"58,7500",58,vidusskola,Rīga
7,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"""VisLatvijas vidusskola""",Rīga,"7,0000",28,"6,0000",24,"11,2500",45,"15,0000",60,"39,2500",39,vidusskola,Rīga
8,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"""VisLatvijas vidusskola""",Rīga,"8,0000",32,"4,0000",16,"13,7500",55,"15,0000",60,"40,7500",40,vidusskola,Rīga
9,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"16,0000",64,"14,0000",56,"18,7500",75,"21,0000",84,"69,7500",69,vidusskola,Novadu pilsētas
10,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"18,0000",72,"18,0000",72,"21,2500",85,"22,0000",88,"79,2500",79,vidusskola,Novadu pilsētas
11,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"15,0000",60,"15,0000",60,"18,7500",75,"21,0000",84,"69,7500",69,vidusskola,Novadu pilsētas
12,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"21,0000",84,"19,0000",76,"23,7500",95,"20,0000",80,"83,7500",83,vidusskola,Novadu pilsētas
13,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"22,0000",88,"22,0000",88,"19,3750",77,"23,0000",92,"86,3750",86,vidusskola,Novadu pilsētas
14,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"10,0000",40,"7,0000",28,"13,7500",55,"14,0000",56,"44,7500",44,vidusskola,Novadu pilsētas
15,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"9,0000",36,"6,0000",24,"13,1250",52,"18,0000",72,"46,1250",46,vidusskola,Novadu pilsētas
16,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"6,0000",24,"5,0000",20,"17,5000",70,"18,0000",72,"46,5000",46,vidusskola,Novadu pilsētas
17,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"13,0000",52,"9,0000",36,"16,2500",65,"20,0000",80,"58,2500",58,vidusskola,Novadu pilsētas
18,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"21,0000",84,"15,0000",60,"15,0000",60,"19,0000",76,"70,0000",70,vidusskola,Novadu pilsētas
19,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"17,0000",68,"13,0000",52,"20,6250",82,"20,0000",80,"70,6250",70,vidusskola,Novadu pilsētas
20,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"8,0000",32,"8,0000",32,"12,5000",50,"24,0000",96,"52,5000",52,vidusskola,Novadu pilsētas
21,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"21,0000",84,"17,0000",68,"19,3750",77,"17,0000",68,"74,3750",74,vidusskola,Novadu pilsētas
22,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"24,0000",96,"21,0000",84,"23,1250",92,"23,0000",92,"91,1250",91,vidusskola,Novadu pilsētas
23,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"19,0000",76,"15,0000",60,"18,7500",75,"24,0000",96,"76,7500",76,vidusskola,Novadu pilsētas
24,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"19,0000",76,"12,0000",48,"21,2500",85,"25,0000",100,"77,2500",77,vidusskola,Novadu pilsētas
25,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"21,0000",84,"18,0000",72,"16,2500",65,"24,0000",96,"79,2500",79,vidusskola,Novadu pilsētas
26,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"21,0000",84,"22,0000",88,"22,5000",90,"25,0000",100,"90,5000",90,vidusskola,Novadu pilsētas
27,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"12,0000",48,"17,0000",68,"19,3750",77,"17,0000",68,"65,3750",65,vidusskola,Novadu pilsētas
28,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"15,0000",60,"17,0000",68,"22,5000",90,"21,0000",84,"75,5000",75,vidusskola,Novadu pilsētas
29,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"15,0000",60,"19,0000",76,"20,6250",82,"24,0000",96,"78,6250",78,vidusskola,Novadu pilsētas
30,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"15,0000",60,"15,0000",60,"15,6250",62,"16,0000",64,"61,6250",61,vidusskola,Novadu pilsētas
31,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aknīstes vidusskola,Jēkabpils novads,"12,0000",48,"9,0000",36,"16,2500",65,"16,0000",64,"53,2500",53,vidusskola,Novadu pilsētas
32,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aknīstes vidusskola,Jēkabpils novads,"11,0000",44,"13,0000",52,"14,3750",57,"12,0000",48,"50,3750",50,vidusskola,Novadu pilsētas
33,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aknīstes vidusskola,Jēkabpils novads,"7,0000",28,"12,0000",48,"13,1250",52,"16,0000",64,"48,1250",48,vidusskola,Novadu pilsētas
34,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aknīstes vidusskola,Jēkabpils novads,"13,0000",52,"16,0000",64,"20,0000",80,"23,0000",92,"72,0000",72,vidusskola,Novadu pilsētas
35,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aknīstes vidusskola,Jēkabpils novads,"6,0000",24,"7,0000",28,"3,7500",15,"14,0000",56,"30,7500",30,vidusskola,Novadu pilsētas
36,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aknīstes vidusskola,Jēkabpils novads,"8,0000",32,"13,0000",52,"10,0000",40,"5,0000",20,"36,0000",36,vidusskola,Novadu pilsētas
37,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aknīstes vidusskola,Jēkabpils novads,"10,0000",40,"7,0000",28,"13,7500",55,"25,0000",100,"55,7500",55,vidusskola,Novadu pilsētas
38,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Alfrēda Kalniņa Cēsu mūzikas vidusskola,Cēsu novads,"14,0000",56,"11,0000",44,"15,6250",62,"17,0000",68,"57,6250",57,prof. izglītības iestāde,Novadu pilsētas
39,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Alfrēda Kalniņa Cēsu mūzikas vidusskola,Cēsu novads,"19,0000",76,"21,0000",84,"23,1250",92,"23,0000",92,"86,1250",86,prof. izglītības iestāde,Novadu pilsētas
40,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Alojas Ausekļa vidusskola,Limbažu novads,"11,0000",44,"7,0000",28,"16,2500",65,"24,0000",96,"58,2500",58,vidusskola,Novadu pilsētas
41,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Alojas Ausekļa vidusskola,Limbažu novads,"5,0000",20,"5,0000",20,"8,7500",35,"0,0000",0,"18,7500",18,vidusskola,Novadu pilsētas
42,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Alojas Ausekļa vidusskola,Limbažu novads,"10,0000",40,"4,0000",16,"8,7500",35,"16,0000",64,"38,7500",38,vidusskola,Novadu pilsētas
43,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Andreja Upīša Skrīveru vidusskola,Aizkraukles novads,"10,0000",40,"12,0000",48,"12,5000",50,"20,0000",80,"54,5000",54,vidusskola,Lauki
44,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Andreja Upīša Skrīveru vidusskola,Aizkraukles novads,"14,0000",56,"14,0000",56,"8,1250",32,"24,0000",96,"60,1250",60,vidusskola,Lauki
45,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Andreja Upīša Skrīveru vidusskola,Aizkraukles novads,"14,0000",56,"13,0000",52,"14,3750",57,"25,0000",100,"66,3750",66,vidusskola,Lauki
46,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Andreja Upīša Skrīveru vidusskola,Aizkraukles novads,"15,0000",60,"10,0000",40,"14,3750",57,"18,0000",72,"57,3750",57,vidusskola,Lauki
47,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Andreja Upīša Skrīveru vidusskola,Aizkraukles novads,"13,0000",52,"14,0000",56,"17,5000",70,"25,0000",100,"69,5000",69,vidusskola,Lauki
48,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Andreja Upīša Skrīveru vidusskola,Aizkraukles novads,"9,0000",36,"9,0000",36,"13,7500",55,"18,0000",72,"49,7500",49,vidusskola,Lauki
49,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Andreja Upīša Skrīveru vidusskola,Aizkraukles novads,"9,0000",36,"7,0000",28,"10,0000",40,"20,0000",80,"46,0000",46,vidusskola,Lauki
50,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Andreja Upīša Skrīveru vidusskola,Aizkraukles novads,"13,0000",52,"16,0000",64,"22,5000",90,"25,0000",100,"76,5000",76,vidusskola,Lauki
51,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Andreja Upīša Skrīveru vidusskola,Aizkraukles novads,"17,0000",68,"16,0000",64,"11,8750",47,"23,0000",92,"67,8750",67,vidusskola,Lauki
52,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Andreja Upīša Skrīveru vidusskola,Aizkraukles novads,"16,0000",64,"15,0000",60,"21,2500",85,"25,0000",100,"77,2500",77,vidusskola,Lauki
53,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Andreja Upīša Skrīveru vidusskola,Aizkraukles novads,"16,0000",64,"17,0000",68,"11,8750",47,"25,0000",100,"69,8750",69,vidusskola,Lauki
54,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Andreja Upīša Skrīveru vidusskola,Aizkraukles novads,"8,0000",32,"9,0000",36,"7,5000",30,"18,0000",72,"42,5000",42,vidusskola,Lauki
55,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Andreja Upīša Skrīveru vidusskola,Aizkraukles novads,"14,0000",56,"8,0000",32,"16,2500",65,"20,0000",80,"58,2500",58,vidusskola,Lauki
56,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Andreja Upīša Skrīveru vidusskola,Aizkraukles novads,"10,0000",40,"10,0000",40,"12,5000",50,"20,0000",80,"52,5000",52,vidusskola,Lauki
57,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Andreja Upīša Skrīveru vidusskola,Aizkraukles novads,"16,0000",64,"14,0000",56,"21,2500",85,"25,0000",100,"76,2500",76,vidusskola,Lauki
58,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Andreja Upīša Skrīveru vidusskola,Aizkraukles novads,"12,0000",48,"13,0000",52,"16,2500",65,"25,0000",100,"66,2500",66,vidusskola,Lauki
59,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Auces vidusskola,Dobeles novads,"10,0000",40,"14,0000",56,"11,8750",47,"16,0000",64,"51,8750",51,vidusskola,Novadu pilsētas
60,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Auces vidusskola,Dobeles novads,"8,0000",32,"6,0000",24,"11,8750",47,"13,0000",52,"38,8750",38,vidusskola,Novadu pilsētas
61,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Auces vidusskola,Dobeles novads,"10,0000",40,"6,0000",24,"11,2500",45,"18,0000",72,"45,2500",45,vidusskola,Novadu pilsētas
62,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Auces vidusskola,Dobeles novads,"3,0000",12,"3,0000",12,"7,5000",30,"13,0000",52,"26,5000",26,vidusskola,Novadu pilsētas
63,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Auces vidusskola,Dobeles novads,"14,0000",56,"14,0000",56,"15,0000",60,"22,0000",88,"65,0000",65,vidusskola,Novadu pilsētas
64,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Auces vidusskola,Dobeles novads,"12,0000",48,"16,0000",64,"13,1250",52,"16,0000",64,"57,1250",57,vidusskola,Novadu pilsētas
65,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Auces vidusskola,Dobeles novads,"19,0000",76,"17,0000",68,"13,7500",55,"24,0000",96,"73,7500",73,vidusskola,Novadu pilsētas
66,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Auces vidusskola,Dobeles novads,"6,0000",24,"7,0000",28,"13,1250",52,"14,0000",56,"40,1250",40,vidusskola,Novadu pilsētas
67,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Auces vidusskola,Dobeles novads,"16,0000",64,"10,0000",40,"15,6250",62,"17,0000",68,"58,6250",58,vidusskola,Novadu pilsētas
68,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Auces vidusskola,Dobeles novads,"7,0000",28,"5,0000",20,"6,8750",27,"15,0000",60,"33,8750",33,vidusskola,Novadu pilsētas
69,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Auces vidusskola,Dobeles novads,"15,0000",60,"7,0000",28,"15,0000",60,"17,0000",68,"54,0000",54,vidusskola,Novadu pilsētas
70,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Auces vidusskola,Dobeles novads,"19,0000",76,"14,0000",56,"13,7500",55,"15,0000",60,"61,7500",61,vidusskola,Novadu pilsētas
71,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Austrumlatvijas Tehnoloģiju vidusskola,Rēzekne,"13,0000",52,"9,0000",36,"22,5000",90,"15,0000",60,"59,5000",59,vidusskola,Valstspilsētas
72,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Austrumlatvijas Tehnoloģiju vidusskola,Rēzekne,"19,0000",76,"11,0000",44,"20,0000",80,"24,0000",96,"74,0000",74,vidusskola,Valstspilsētas
73,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Austrumlatvijas Tehnoloģiju vidusskola,Rēzekne,"19,0000",76,"14,0000",56,"16,8750",67,"24,0000",96,"73,8750",73,vidusskola,Valstspilsētas
74,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Austrumlatvijas Tehnoloģiju vidusskola,Rēzekne,"10,0000",40,"5,0000",20,"13,1250",52,"12,0000",48,"40,1250",40,vidusskola,Valstspilsētas
75,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Austrumlatvijas Tehnoloģiju vidusskola,Rēzekne,"10,0000",40,"5,0000",20,"20,0000",80,"19,0000",76,"54,0000",54,vidusskola,Valstspilsētas
76,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Austrumlatvijas Tehnoloģiju vidusskola,Rēzekne,"15,0000",60,"4,0000",16,"13,7500",55,"11,0000",44,"43,7500",43,vidusskola,Valstspilsētas
77,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Austrumlatvijas Tehnoloģiju vidusskola,Rēzekne,"21,0000",84,"6,0000",24,"19,3750",77,"20,0000",80,"66,3750",66,vidusskola,Valstspilsētas
78,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Austrumlatvijas Tehnoloģiju vidusskola,Rēzekne,"23,0000",92,"16,0000",64,"19,3750",77,"25,0000",100,"83,3750",83,vidusskola,Valstspilsētas
79,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Austrumlatvijas Tehnoloģiju vidusskola,Rēzekne,"16,0000",64,"16,0000",64,"24,3750",97,"24,0000",96,"80,3750",80,vidusskola,Valstspilsētas
80,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Austrumlatvijas Tehnoloģiju vidusskola,Rēzekne,"11,0000",44,"14,0000",56,"21,2500",85,"18,0000",72,"64,2500",64,vidusskola,Valstspilsētas
81,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Austrumlatvijas Tehnoloģiju vidusskola,Rēzekne,"14,0000",56,"22,0000",88,"16,8750",67,"23,0000",92,"75,8750",75,vidusskola,Valstspilsētas
82,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Austrumlatvijas Tehnoloģiju vidusskola,Rēzekne,"13,0000",52,"8,0000",32,"8,7500",35,"21,0000",84,"50,7500",50,vidusskola,Valstspilsētas
83,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Austrumlatvijas Tehnoloģiju vidusskola,Rēzekne,"3,0000",12,"4,0000",16,"18,1250",72,"15,0000",60,"40,1250",40,vidusskola,Valstspilsētas
84,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Austrumlatvijas Tehnoloģiju vidusskola,Rēzekne,"8,0000",32,"14,0000",56,"11,2500",45,"12,0000",48,"45,2500",45,vidusskola,Valstspilsētas
85,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Austrumlatvijas Tehnoloģiju vidusskola,Rēzekne,"7,0000",28,"15,0000",60,"13,1250",52,"14,0000",56,"49,1250",49,vidusskola,Valstspilsētas
86,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Austrumlatvijas Tehnoloģiju vidusskola,Rēzekne,"9,0000",36,"15,0000",60,"15,0000",60,"20,0000",80,"59,0000",59,vidusskola,Valstspilsētas
87,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Austrumlatvijas Tehnoloģiju vidusskola,Rēzekne,"17,0000",68,"18,0000",72,"20,6250",82,"25,0000",100,"80,6250",80,vidusskola,Valstspilsētas
88,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Austrumlatvijas Tehnoloģiju vidusskola,Rēzekne,"16,0000",64,"8,0000",32,"11,8750",47,"22,0000",88,"57,8750",57,vidusskola,Valstspilsētas
89,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"14,0000",56,"11,0000",44,"13,7500",55,"16,0000",64,"54,7500",54,vidusskola,Lauki
90,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"8,0000",32,"8,0000",32,"17,5000",70,"22,0000",88,"55,5000",55,vidusskola,Lauki
91,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"7,0000",28,"10,0000",40,"6,8750",27,"14,0000",56,"37,8750",37,vidusskola,Lauki
92,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"12,0000",48,"8,0000",32,"15,0000",60,"25,0000",100,"60,0000",60,vidusskola,Lauki
93,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"10,0000",40,"13,0000",52,"16,2500",65,"20,0000",80,"59,2500",59,vidusskola,Lauki
94,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"17,0000",68,"14,0000",56,"11,8750",47,"23,0000",92,"65,8750",65,vidusskola,Lauki
95,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"6,0000",24,"9,0000",36,"15,0000",60,"15,0000",60,"45,0000",45,vidusskola,Lauki
96,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"17,0000",68,"17,0000",68,"20,6250",82,"24,0000",96,"78,6250",78,vidusskola,Lauki
97,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"19,0000",76,"20,0000",80,"16,8750",67,"24,0000",96,"79,8750",79,vidusskola,Lauki
98,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"7,0000",28,"4,0000",16,"18,1250",72,"22,0000",88,"51,1250",51,vidusskola,Lauki
99,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"16,0000",64,"15,0000",60,"21,2500",85,"23,0000",92,"75,2500",75,vidusskola,Lauki
100,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"19,0000",76,"20,0000",80,"17,5000",70,"23,0000",92,"79,5000",79,vidusskola,Lauki
101,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"11,0000",44,"11,0000",44,"14,3750",57,"24,0000",96,"60,3750",60,vidusskola,Lauki
102,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"8,0000",32,"11,0000",44,"19,3750",77,"20,0000",80,"58,3750",58,vidusskola,Lauki
103,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"9,0000",36,"9,0000",36,"19,3750",77,"24,0000",96,"61,3750",61,vidusskola,Lauki
104,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"14,0000",56,"5,0000",20,"19,3750",77,"21,0000",84,"59,3750",59,vidusskola,Lauki
105,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"14,0000",56,"10,0000",40,"10,6250",42,"25,0000",100,"59,6250",59,vidusskola,Lauki
106,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"12,0000",48,"11,0000",44,"18,1250",72,"25,0000",100,"66,1250",66,vidusskola,Lauki
107,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"17,0000",68,"15,0000",60,"16,8750",67,"22,0000",88,"70,8750",70,vidusskola,Lauki
108,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"20,0000",80,"20,0000",80,"21,2500",85,"24,0000",96,"85,2500",85,vidusskola,Lauki
109,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"14,0000",56,"13,0000",52,"14,3750",57,"18,0000",72,"59,3750",59,vidusskola,Lauki
110,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"13,0000",52,"10,0000",40,"22,5000",90,"25,0000",100,"70,5000",70,vidusskola,Lauki
111,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"17,0000",68,"10,0000",40,"13,1250",52,"23,0000",92,"63,1250",63,vidusskola,Lauki
112,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Ādažu vidusskola,Ādažu novads,"24,0000",96,"20,0000",80,"18,1250",72,"25,0000",100,"87,1250",87,vidusskola,Lauki
113,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Babītes vidusskola,Mārupes novads,"12,0000",48,"16,0000",64,"15,0000",60,"23,0000",92,"66,0000",66,vidusskola,Lauki
